,provincia,año,value,percentage,datetime,COD-CCAA
0,Andalucía,2019,3668893.328,1,2019-01-01T00:00:00.000+01:00,4
1,Andalucía,2019,3152278.091,1,2019-02-01T00:00:00.000+01:00,4
2,Andalucía,2019,3216356.36,1,2019-03-01T00:00:00.000+01:00,4
3,Andalucía,2019,3029639.973,1,2019-04-01T00:00:00.000+02:00,4
4,Andalucía,2019,3154123.467,1,2019-05-01T00:00:00.000+02:00,4
5,Andalucía,2019,3181997.313,1,2019-06-01T00:00:00.000+02:00,4
6,Andalucía,2019,3676269.543,1,2019-07-01T00:00:00.000+02:00,4
7,Andalucía,2019,3786647.665,1,2019-08-01T00:00:00.000+02:00,4
8,Andalucía,2019,3261926.084,1,2019-09-01T00:00:00.000+02:00,4
9,Andalucía,2019,3143205.713,1,2019-10-01T00:00:00.000+02:00,4
10,Andalucía,2019,3215694.404,1,2019-11-01T00:00:00.000+01:00,4
11,Andalucía,2019,3383670.228,1,2019-12-01T00:00:00.000+01:00,4
12,Andalucía,2020,3648510.198,1,2020-01-01T00:00:00.000+01:00,4
13,Andalucía,2020,3085375.745,1,2020-02-01T00:00:00.000+01:00,4
14,Andalucía,2020,3136155.192,1,2020-03-01T00:00:00.000+01:00,4
15,Andalucía,2020,2680249.534,1,2020-04-01T00:00:00.000+02:00,4
16,Andalucía,2020,2833738.348,1,2020-05-01T00:00:00.000+02:00,4
17,Andalucía,2020,2999931.629,1,2020-06-01T00:00:00.000+02:00,4
18,Andalucía,2020,3944796.05,1,2020-07-01T00:00:00.000+02:00,4
19,Andalucía,2020,3852523.918,1,2020-08-01T00:00:00.000+02:00,4
20,Andalucía,2020,3248747.485,1,2020-09-01T00:00:00.000+02:00,4
21,Andalucía,2020,3070190.647,1,2020-10-01T00:00:00.000+02:00,4
22,Andalucía,2020,3040312.816,1,2020-11-01T00:00:00.000+01:00,4
23,Andalucía,2020,3482080.542,1,2020-12-01T00:00:00.000+01:00,4
24,Andalucía,2021,3806960.159,1,2021-01-01T00:00:00.000+01:00,4
25,Andalucía,2021,3016830.479,1,2021-02-01T00:00:00.000+01:00,4
26,Andalucía,2021,3214203.583,1,2021-03-01T00:00:00.000+01:00,4
27,Andalucía,2021,2944784.896,1,2021-04-01T00:00:00.000+02:00,4
28,Andalucía,2021,3088142.326,1,2021-05-01T00:00:00.000+02:00,4
29,Andalucía,2021,3166035.944,1,2021-06-01T00:00:00.000+02:00,4
30,Andalucía,2021,3688723.186,1,2021-07-01T00:00:00.000+02:00,4
31,Andalucía,2021,3781782.817,1,2021-08-01T00:00:00.000+02:00,4
32,Andalucía,2021,3261936.787,1,2021-09-01T00:00:00.000+02:00,4
33,Andalucía,2021,3062789.782,1,2021-10-01T00:00:00.000+02:00,4
34,Andalucía,2021,3180304.564,1,2021-11-01T00:00:00.000+01:00,4
35,Andalucía,2021,3441074.577,1,2021-12-01T00:00:00.000+01:00,4
36,Aragón,2019,957420.099,1,2019-01-01T00:00:00.000+01:00,5
37,Aragón,2019,859577.223,1,2019-02-01T00:00:00.000+01:00,5
38,Aragón,2019,931375.419,1,2019-03-01T00:00:00.000+01:00,5
39,Aragón,2019,861851.879,1,2019-04-01T00:00:00.000+02:00,5
40,Aragón,2019,901078.329,1,2019-05-01T00:00:00.000+02:00,5
41,Aragón,2019,887513.783,1,2019-06-01T00:00:00.000+02:00,5
42,Aragón,2019,947768.672,1,2019-07-01T00:00:00.000+02:00,5
43,Aragón,2019,918355.065,1,2019-08-01T00:00:00.000+02:00,5
44,Aragón,2019,880277.404,1,2019-09-01T00:00:00.000+02:00,5
45,Aragón,2019,883069.114,1,2019-10-01T00:00:00.000+02:00,5
46,Aragón,2019,905361.295,1,2019-11-01T00:00:00.000+01:00,5
47,Aragón,2019,875169.733,1,2019-12-01T00:00:00.000+01:00,5
48,Aragón,2020,936969.954,1,2020-01-01T00:00:00.000+01:00,5
49,Aragón,2020,847063.224,1,2020-02-01T00:00:00.000+01:00,5
50,Aragón,2020,845670.025,1,2020-03-01T00:00:00.000+01:00,5
51,Aragón,2020,715893.499,1,2020-04-01T00:00:00.000+02:00,5
52,Aragón,2020,780472.526,1,2020-05-01T00:00:00.000+02:00,5
53,Aragón,2020,800765.41,1,2020-06-01T00:00:00.000+02:00,5
54,Aragón,2020,883086.548,1,2020-07-01T00:00:00.000+02:00,5
55,Aragón,2020,884240.341,1,2020-08-01T00:00:00.000+02:00,5
56,Aragón,2020,844042.251,1,2020-09-01T00:00:00.000+02:00,5
57,Aragón,2020,848048.821,1,2020-10-01T00:00:00.000+02:00,5
58,Aragón,2020,854810.773,1,2020-11-01T00:00:00.000+01:00,5
59,Aragón,2020,873158.298,1,2020-12-01T00:00:00.000+01:00,5
60,Aragón,2021,899098.143,1,2021-01-01T00:00:00.000+01:00,5
61,Aragón,2021,806734.845,1,2021-02-01T00:00:00.000+01:00,5
62,Aragón,2021,901481.249,1,2021-03-01T00:00:00.000+01:00,5
63,Aragón,2021,835504.911,1,2021-04-01T00:00:00.000+02:00,5
64,Aragón,2021,854555.031,1,2021-05-01T00:00:00.000+02:00,5
65,Aragón,2021,881086.419,1,2021-06-01T00:00:00.000+02:00,5
66,Aragón,2021,914403.06,1,2021-07-01T00:00:00.000+02:00,5
67,Aragón,2021,890945.768,1,2021-08-01T00:00:00.000+02:00,5
68,Aragón,2021,857223.626,1,2021-09-01T00:00:00.000+02:00,5
69,Aragón,2021,842280.712,1,2021-10-01T00:00:00.000+02:00,5
70,Aragón,2021,884111.867,1,2021-11-01T00:00:00.000+01:00,5
71,Aragón,2021,895918.585,1,2021-12-01T00:00:00.000+01:00,5
72,Canarias,2019,755349.344,1,2019-01-01T00:00:00.000+01:00,8742
73,Canarias,2019,678572.401,1,2019-02-01T00:00:00.000+01:00,8742
74,Canarias,2019,738613.341,1,2019-03-01T00:00:00.000+01:00,8742
75,Canarias,2019,701144.535,1,2019-04-01T00:00:00.000+02:00,8742
76,Canarias,2019,724435.551,1,2019-05-01T00:00:00.000+02:00,8742
77,Canarias,2019,714689.013,1,2019-06-01T00:00:00.000+02:00,8742
78,Canarias,2019,765155.245,1,2019-07-01T00:00:00.000+02:00,8742
79,Canarias,2019,788634.096,1,2019-08-01T00:00:00.000+02:00,8742
80,Canarias,2019,752661.657,1,2019-09-01T00:00:00.000+02:00,8742
81,Canarias,2019,773780.358,1,2019-10-01T00:00:00.000+02:00,8742
82,Canarias,2019,734424.275,1,2019-11-01T00:00:00.000+01:00,8742
83,Canarias,2019,747518.318,1,2019-12-01T00:00:00.000+01:00,8742
84,Canarias,2020,756953.464,1,2020-01-01T00:00:00.000+01:00,8742
85,Canarias,2020,705861.132,1,2020-02-01T00:00:00.000+01:00,8742
86,Canarias,2020,682194.297,1,2020-03-01T00:00:00.000+01:00,8742
87,Canarias,2020,548481.932,1,2020-04-01T00:00:00.000+02:00,8742
88,Canarias,2020,581117.603,1,2020-05-01T00:00:00.000+02:00,8742
89,Canarias,2020,602698.837,1,2020-06-01T00:00:00.000+02:00,8742
90,Canarias,2020,679184.288,1,2020-07-01T00:00:00.000+02:00,8742
91,Canarias,2020,712516.545,1,2020-08-01T00:00:00.000+02:00,8742
92,Canarias,2020,684875.592,1,2020-09-01T00:00:00.000+02:00,8742
93,Canarias,2020,674860.239,1,2020-10-01T00:00:00.000+02:00,8742
94,Canarias,2020,652336.766,1,2020-11-01T00:00:00.000+01:00,8742
95,Canarias,2020,665587.715,1,2020-12-01T00:00:00.000+01:00,8742
96,Canarias,2021,648143.584,1,2021-01-01T00:00:00.000+01:00,8742
97,Canarias,2021,576433.134,1,2021-02-01T00:00:00.000+01:00,8742
98,Canarias,2021,640601.157,1,2021-03-01T00:00:00.000+01:00,8742
99,Canarias,2021,615594.768,1,2021-04-01T00:00:00.000+02:00,8742
