,value,percentage,datetime,type,COD-CCAA
0,25288.605,0.0295168516408729,2019-01-01T00:00:00.000+01:00,Hidráulica,4
1,33933.35,0.0307789367489006,2019-02-01T00:00:00.000+01:00,Hidráulica,4
2,35913.0,0.0296445386297287,2019-03-01T00:00:00.000+01:00,Hidráulica,4
3,44050.848,0.0413396613811428,2019-04-01T00:00:00.000+02:00,Hidráulica,4
4,88535.452,0.0684968335557468,2019-05-01T00:00:00.000+02:00,Hidráulica,4
5,92464.391,0.0791740014735905,2019-06-01T00:00:00.000+02:00,Hidráulica,4
6,91236.63,0.0792833734193486,2019-07-01T00:00:00.000+02:00,Hidráulica,4
7,80161.437,0.0665704383980414,2019-08-01T00:00:00.000+02:00,Hidráulica,4
8,40095.141,0.0450968948847209,2019-09-01T00:00:00.000+02:00,Hidráulica,4
9,21984.146,0.0245858157435164,2019-10-01T00:00:00.000+02:00,Hidráulica,4
10,21611.63,0.0206324108893118,2019-11-01T00:00:00.000+01:00,Hidráulica,4
11,33252.448,0.0330008791630564,2019-12-01T00:00:00.000+01:00,Hidráulica,4
12,547209.843,0.6387031531496647,2019-01-01T00:00:00.000+01:00,Eólica,4
13,714535.96,0.6481133491875982,2019-02-01T00:00:00.000+01:00,Eólica,4
14,705153.705,0.5820721256305187,2019-03-01T00:00:00.000+01:00,Eólica,4
15,607656.868,0.5702575614218778,2019-04-01T00:00:00.000+02:00,Eólica,4
16,612356.002,0.4737587734442987,2019-05-01T00:00:00.000+02:00,Eólica,4
17,454884.57,0.3895016365326369,2019-06-01T00:00:00.000+02:00,Eólica,4
18,456346.421,0.3965587473444193,2019-07-01T00:00:00.000+02:00,Eólica,4
19,495339.705,0.4113571631432519,2019-08-01T00:00:00.000+02:00,Eólica,4
20,375841.662,0.4227268317752717,2019-09-01T00:00:00.000+02:00,Eólica,4
21,430931.821,0.4819295845799073,2019-10-01T00:00:00.000+02:00,Eólica,4
22,764217.456,0.7295908990194919,2019-11-01T00:00:00.000+01:00,Eólica,4
23,684672.055,0.6794922212456832,2019-12-01T00:00:00.000+01:00,Eólica,4
24,100175.137,0.1169243877601442,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,4
25,119956.735,0.1088056663774615,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,4
26,147364.111,0.1216423323357872,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,4
27,132367.448,0.1242206615002288,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,4
28,172457.989,0.1334248134622029,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,4
29,166634.356,0.1426831302819571,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,4
30,175669.523,0.1526543932015885,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,4
31,182499.378,0.1515574577440505,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,4
32,169840.831,0.1910279877240148,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,4
33,174440.057,0.1950838162960942,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,4
34,101305.46,0.0967153276291861,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,4
35,120605.521,0.1196930892101078,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,4
36,74526.679,0.0869875158131483,2019-01-01T00:00:00.000+01:00,Solar térmica,4
37,125159.24,0.1135245512600575,2019-02-01T00:00:00.000+01:00,Solar térmica,4
38,194932.656,0.1609079901703454,2019-03-01T00:00:00.000+01:00,Solar térmica,4
39,170591.365,0.1600920205587628,2019-04-01T00:00:00.000+02:00,Solar térmica,4
40,330398.724,0.2556181269042274,2019-05-01T00:00:00.000+02:00,Solar térmica,4
41,341081.315,0.29205591735768,2019-06-01T00:00:00.000+02:00,Solar térmica,4
42,296144.8,0.2573457476958357,2019-07-01T00:00:00.000+02:00,Solar térmica,4
43,311366.833,0.2585760354498104,2019-08-01T00:00:00.000+02:00,Solar térmica,4
44,183963.277,0.2069121683726662,2019-09-01T00:00:00.000+02:00,Solar térmica,4
45,138110.375,0.154454770816113,2019-10-01T00:00:00.000+02:00,Solar térmica,4
46,35561.83,0.0339505298089897,2019-11-01T00:00:00.000+01:00,Solar térmica,4
47,38142.147,0.0378535855214791,2019-12-01T00:00:00.000+01:00,Solar térmica,4
48,109551.171,0.1278680916361698,2019-01-01T00:00:00.000+01:00,Otras renovables,4
49,108900.817,0.0987774964259821,2019-02-01T00:00:00.000+01:00,Otras renovables,4
50,128090.7,0.1057330132336198,2019-03-01T00:00:00.000+01:00,Otras renovables,4
51,110916.655,0.1040900951379878,2019-04-01T00:00:00.000+02:00,Otras renovables,4
52,88799.932,0.068701452633524,2019-05-01T00:00:00.000+02:00,Otras renovables,4
53,112798.42,0.0965853143541354,2019-06-01T00:00:00.000+02:00,Otras renovables,4
54,131368.872,0.1141577383388076,2019-07-01T00:00:00.000+02:00,Otras renovables,4
55,134792.315,0.1119389052648456,2019-08-01T00:00:00.000+02:00,Otras renovables,4
56,119347.819,0.1342361172433262,2019-09-01T00:00:00.000+02:00,Otras renovables,4
57,128713.653,0.1439460125643688,2019-10-01T00:00:00.000+02:00,Otras renovables,4
58,124763.861,0.1191108326530203,2019-11-01T00:00:00.000+01:00,Otras renovables,4
59,130950.924,0.1299602248596733,2019-12-01T00:00:00.000+01:00,Otras renovables,4
60,856751.4349999999,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,4
61,1102486.102,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,4
62,1211454.172,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,4
63,1065583.184,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,4
64,1292548.099,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,4
65,1167863.052,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,4
66,1150766.246,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,4
